instance,formulation,lp_relaxation,obj_value,node_count,solve_time,optimal,num_groupings
instance_01,F1a,16.32,17.0,1,11.05,True,N/A
instance_01,F1b,16.32,18.0,1,600.27,False,N/A
instance_02,F1a,16.08,17.0,1,108.79,True,N/A
instance_02,F1b,16.08,18.0,1,600.29,False,N/A
instance_03,F1a,16.28,17.0,1,95.37,True,N/A
instance_03,F1b,16.28,18.0,1,600.29,False,N/A
instance_04,F1a,16.76,18.0,1924,600.35,False,N/A
instance_04,F1b,16.76,19.0,1,600.47,False,N/A
instance_05,F1a,16.6,18.0,3824,600.41,False,N/A
instance_05,F1b,16.6,19.0,1,600.6,False,N/A
instance_06,F1a,17.76,18.0,1,120.93,True,N/A
instance_06,F1b,17.76,20.0,1,600.4,False,N/A
instance_07,F1a,16.88,18.0,3246,600.36,False,N/A
instance_07,F1b,16.88,18.0,1,600.4,False,N/A
instance_08,F1a,16.84,18.0,6755,600.28,False,N/A
instance_08,F1b,16.84,19.0,1,951.72,False,N/A
instance_09,F1a,18.0,19.0,986,778.86,False,N/A
instance_09,F1b,18.0,20.0,1,600.39,False,N/A
